Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.45,0,,,,,,
186,17.58,11.8,3.25,1.46,0.74,1.01,0.44,0.0
187,17.65,11.75,3.24,1.51,0.89,1.01,0.45,0.0
188,18.07,11.7,3.21,1.53,1.04,1.04,0.51,0.0
189,18.26,11.81,3.22,1.63,0.9,1.05,0.51,0.0
190,18.55,11.79,3.27,1.54,1.03,1.06,0.47,0.0
191,18.45,11.82,3.3,1.83,1.06,1.06,0.5,0.0
192,18.32,11.72,3.24,1.59,0.97,1.05,0.48,0.0
193,17.47,11.72,3.16,1.38,0.86,1.0,0.47,0.0
194,18.16,11.84,3.16,1.66,0.98,1.04,0.48,0.0
195,17.87,11.75,3.15,1.73,0.99,1.02,0.43,0.0
196,17.39,11.73,3.06,1.55,0.87,1.0,0.42,0.0
197,17.48,11.71,3.11,1.39,0.82,1.0,0.31,0.0
198,18.03,11.75,3.19,1.59,0.94,1.03,0.48,0.0
199,18.56,11.76,3.22,1.5,0.96,1.06,0.47,0.0
200,18.42,11.76,3.25,1.5,0.92,1.06,0.43,0.0
